,fiscalDateEnding,ticker,operatingIncome,ebit,incomeBeforeTax,incomeTaxExpense,netIncome,nonOperatingItems,netInterest
239,2024-06-30,BRK-B,37885000000,39367000000,38137000000,7639000000,30348000000,4019000000.0,-1230000000.0
240,2024-09-30,BRK-B,-42360000000,33722000000,32286000000,6028000000,26251000000,4682000000.0,-1214000000.0
241,2024-12-31,BRK-B,23151000000,25465000000,24025000000,4274000000,19694000000,4935000000.0,-1440000000.0
242,2025-03-31,BRK-B,5022000000,6405000000,5148000000,476000000,4603000000,4375000000.0,-1257000000.0
243,2005-03-31,GOOG,442770000,442770000,456456000,87263000,369193000,0.0,0.0
244,2005-06-30,GOOG,475698000,475698000,495420000,152606000,342814000,0.0,0.0
245,2005-09-30,GOOG,529171000,550356000,549968000,168786000,381182000,-388000.0,-388000.0
246,2005-12-31,GOOG,569639000,569639000,639833000,267625000,372208000,0.0,0.0
247,2006-03-31,GOOG,742699000,810626000,810618000,218327000,592291000,-8000.0,-8000.0
248,2006-06-30,GOOG,815372000,976354000,976177000,255100000,721077000,-177000.0,-177000.0
249,2006-09-30,GOOG,931331000,1039532000,1039511000,306150000,733361000,-21000.0,-21000.0
250,2006-12-31,GOOG,1060594000,723484000,1184734000,154017000,1030717000,0.0,0.0
251,2007-03-31,GOOG,1221209000,1352279000,1351937000,349775000,1002162000,-342000.0,-342000.0
252,2007-06-30,GOOG,1104615000,1104630000,1241745000,316625000,925120000,-244000.0,-244000.0
253,2007-09-30,GOOG,1317842000,1317891000,1472270000,402281000,1069989000,-446000.0,-446000.0
254,2007-12-31,GOOG,1440734000,1608198000,1608027000,401578000,1206449000,-171000.0,-171000.0
255,2008-03-31,GOOG,1546235000,1546192000,1713578000,406492000,1307086000,-387000.0,-387000.0
256,2008-06-30,GOOG,1577965000,1577953000,1635888000,388497000,1247391000,-88086000.0,-88086000.0
257,2008-09-30,GOOG,1647565000,1647574000,1668782000,378844000,1289938000,-90996000.0,-90996000.0
258,2008-12-31,GOOG,1860205000,1860251000,835347000,452905000,382442000,-88447000.0,-88447000.0
259,2009-03-31,GOOG,1884000000,1884000000,1890000000,467000000,1423000000,-66092000.0,-66092000.0
260,2009-06-30,GOOG,1874000000,1874000000,1856000000,371000000,1485000000,-50017000.0,-50017000.0
261,2009-09-30,GOOG,2074000000,2074000000,2067000000,428000000,1639000000,-46702000.0,-46702000.0
262,2009-12-31,GOOG,2480983000,2481021000,2568671000,594571000,1974100000,-66862000.0,-66862000.0
263,2010-03-31,GOOG,2488000000,2488000000,2506000000,551000000,1955000000,-95000000.0,-95000000.0
264,2010-06-30,GOOG,2365000000,2365000000,2434000000,594000000,1840000000,-136000000.0,-136000000.0
265,2010-09-30,GOOG,2547000000,2714000000,2714000000,547000000,2167000000,-172000000.0,-172000000.0
266,2010-12-31,GOOG,2982000000,2982000000,3142000000,599000000,2543000000,-176000000.0,-176000000.0
267,2011-03-31,GOOG,2296000000,2396000000,2392000000,594000000,1798000000,-4000000.0,-4000000.0
268,2011-06-30,GOOG,2881000000,3098000000,3085000000,580000000,2505000000,-13000000.0,-13000000.0
269,2011-09-30,GOOG,3058000000,3381000000,3360000000,631000000,2729000000,-21000000.0,-21000000.0
270,2011-12-31,GOOG,3507000000,3509000000,3489000000,785000000,2704000000,-20000000.0,-20000000.0
271,2012-03-31,GOOG,3389000000,3565000000,3545000000,655000000,2890000000,-20000000.0,-20000000.0
272,2012-06-30,GOOG,3237000000,3512000000,3490000000,657000000,2785000000,-22000000.0,-22000000.0
273,2012-09-30,GOOG,2740000000,2826000000,2805000000,647000000,2176000000,-21000000.0,-21000000.0
274,2012-12-31,GOOG,3432000000,3606000000,3585000000,648000000,2886000000,-21000000.0,-21000000.0
275,2013-03-31,GOOG,3748000000,3903000000,3882000000,354000000,3346000000,-21000000.0,-21000000.0
